,tenantId,Number Of Requests,Name,Number Of Inference Device
77,287e9f0e-91ec-4cf0-b7a4-c63898072181,23,London Stock Exchange Group,3
78,6e1e3a0a-cb5b-4699-9a6a-595e9ef289e9,23,Valvoline,1
79,d2033364-dec3-4a1c-9772-3f41ca7c4b75,23,Marriott International,20
80,4720ed5e-c545-46eb-99a5-958dd333e9f2,22,Danone,3
81,2a6e6092-73e4-4752-b1a5-477a17f5056d,22,MMC,1
82,24139d14-c62c-4c47-8bdd-ce71ea1d50cf,21,ENGIE,3
83,92ebd22d-0a9c-4516-a68f-ba966853a8f3,21,Yorkshire Water Services,3
84,f2ad197b-b296-4938-bfff-0db3f914bcee,21,Logically,1
85,945c199a-83a2-4e80-9f8c-5a91be5752dd,21,Dell Technologies,1
86,9c72d32e-66f4-4e08-b55a-5bde33f76942,20,Valio Oy,7
87,8b6fe405-6811-42e0-bc1b-64b0b0e5b91c,20,TPG,1
88,3e9aadf8-6a16-490f-8dcd-c68860caae0b,20,"Regeneron Pharmaceuticals, Inc.",804
89,90aa9e78-527f-404a-9c53-b0e4065c8287,20,HighTower Advisors,5
90,457a2b01-0019-42ba-a449-45f99e96b60a,20,Ciena Corporation,12
91,79be6dc1-d78e-4bbb-b22b-d994c0a417a7,20,The Nature Conservancy,1
92,a6b169f1-592b-4329-8f33-8db8903003c7,19,AholdDelhaize.com,5
93,35595a02-4d6d-44ac-99e1-f9ab4cd872db,19,Santander Office 365,2571
94,7893571b-6c2c-4cef-b4da-7d4b266a0626,19,Vale S.A.,7
95,a5c7d9b1-0835-4cc7-afe2-857ec1d785cf,18,AB Texel Group BV,231
96,42d1c093-e957-4b44-92ee-a2087bd45df9,17,Laboratoires de Biologies Végétales YVES ROCHER,40
97,a5cf6b03-7eed-4dad-84ec-8512991f01a2,17,Rödl & Partner,5
98,289321e0-9db6-4644-b371-956e6056d9eb,17,Ceridian HCM Inc.,2
99,07751f8b-9617-49d5-9024-85f034f400ec,16,De Lage Landen International B.V.,1
100,cbeb3ecc-6f45-4183-b5a8-088140deae5d,16,Assicurazioni Generali S.p.A.,4
101,9a5cacd0-2bef-4dd7-ac5c-7ebe1f54f495,16,ESA,6
102,e11fd634-26b5-47f4-8b8c-908e466e9bdf,16,Sainsbury's Supermarkets Ltd,5
103,7f81f7f6-2c8d-41c1-9d2d-fda6462bb6fe,16,AT powered by nasta,1
104,19cb3c1e-de20-484a-8c7e-0f961c4a491d,16,HARTMANN GROUP,8
105,9c2a31bd-e798-488d-986b-90156ac8f29b,16,Xerox,1
106,5fe198e9-aa7c-45d2-9da7-4fbbeb5d542e,16, Frontier Communications,13
107,96c3451c-0db8-4f19-88af-5cb06c0a43fe,15,Dangote Industries Limited,1
108,b01220f1-ab94-4936-86d7-f3b40f38f4b7,15,Sitra,5
109,697f104b-d7cb-48c8-ac9f-bd87105bafdc,15,Alliander NV,18
110,11873a1f-4c8d-450d-8dfb-e37a2e2557f8,15,Fiserv Corp,66
111,f761680c-0582-4825-b245-62c1d05b6b3a,14,Boots UK Limited,16
112,9c154401-de1a-4637-a76e-2a56754909bf,13,Alleima,1
113,389309be-55ce-4145-99da-2d9e706bb4d9,13,4WARDPRO,1
114,9dfd1e5e-bb06-40df-8eeb-2a295fe4dda5,13,"PPG Industries, Inc. ",1
115,cc9f55cb-28a1-42fe-947f-a5a399a1ddb6,13,Industrial Alliance,5
116,bb2c3a14-3d6e-4c33-982b-20ee498a6347,13,BHI Digital LLC,1
117,1fc83bb8-9ee5-4a7c-91c0-8028c367340a,12,Contoso,1
118,c3af39c4-5034-4eda-977a-4ac8456ce8dd,12,R4Capital,2
119,9723591a-3fa5-44ef-8915-77f5e1978707,12,Morgan Advanced Materials PLC,16
120,3b07dc1f-22e7-4be1-ac66-a88bf3550222,12,Verisk Analytics,171
121,9d897ded-94de-4bb5-8e58-07d55a02ac32,12,CENMIS,1
122,f8b81311-01f2-41c6-9460-46d74ffdb2a8,12,Exact Sciences,1
123,358a41ff-46d9-49d3-a297-370d894eae6a,11,Sophos Ltd,1
124,d04f4717-5a6e-4b98-b3f9-6918e0385f4c,11,Schwarz IT,6
125,21cbdbad-6e79-46a0-b3f3-3a7f62554acc,11,Dorilton Capital,1
126,2567d566-604c-408a-8a60-55d0dc9d9d6b,11,Informa plc,1
127,7402c420-0163-48dd-afa2-6c4f07fcebc8,10,Victorian Institute of Forensic Medicine,1
128,4dc567e4-2b82-4a00-bcdb-f1f6782a0f6e,10,RSA Group,2
129,d946c2a8-23e5-4619-aa16-1b8b0242f2bc,10,Gemeente Katwijk,168
130,85cffeef-a994-4666-a8bc-996f71b530b2,10,SENER,2
131,032db755-f654-431f-b296-93a1c87ad75d,10,Goethe-Institut,14
132,9e2a23af-98f4-4ad5-b266-ef9b2b0b80a5,10,Ramirent PLC,4
133,d2053627-ba14-4532-8b68-95e6bdb2da83,10,bhhc.com,3
134,53523eda-1220-4176-bf9a-055ca7551376,10,Tyson Online,7
135,14b42516-568f-483b-a141-800cfd1be324,10,phreesia.com,10
136,49bcf059-afa8-4bf9-8470-fad0c9cce27d,10,Evolent,1
137,00fc52ff-64ed-4568-9136-13fe046f4b40,10,Rollins,2
138,b68c6481-b22b-46b3-8c4c-0024bb9b9b1f,10,Quest Diagnostics,2
139,59fa7797-abec-4505-81e6-8ce092642190,10,McCain Foods Limited,1
140,90ad8620-8832-4b26-94fa-661cd1e540ba,10,Medicaid Done Right,1
141,3143a543-edee-49dc-bd20-22d7a8454e52,10,MAPAQ,3
142,2cc46ff1-b600-4104-8600-d8acb0b4e19a,10,Freed Maxick,107
143,b5db11ac-8f37-4109-a146-5d7a302f5881,10,Optimus Information Inc.,1
144,fe55274c-53f4-45d7-913b-426bc73039e4,9,Ignite Travel Group,2
145,1aa567c7-00d9-4214-bcb9-1fd5aa99d4f0,9,Service101,1
146,ecaa386b-c8df-4ce0-ad01-740cbdb5ba55,9,BASF,2
147,b4377ef1-c046-4443-9d44-349c6e4902fa,9,OBOS BBL,10
148,f260df36-bc43-424c-8f44-c85226657b01,9,kyndryl,1
149,2a9f86a9-29e7-44bd-8863-849373d53db8,9,Epiq Inc,1
150,7a600dcb-f0f7-400e-b387-5d133087a94f,9,Sallie Mae,725
151,f919b1ef-c0c3-4735-8fca-0928ec39d8d5,9,McGraw Hill Education,3
152,4d3d260a-9c40-4306-8dac-0d64717039ec,9,Zebra Technologies,2
153,e73ba7cf-4e1b-40f5-805e-c3aae41e1b90,9,Truveta,1
154,fccbe2bf-88de-49c4-af92-1e9500cb29a4,8,電通,1
155,82a1caf9-4272-4d16-a988-fd09b8d60410,8,Avincis,269
156,117d98a7-bb36-4909-a0ef-20c21cdbefb2,8,System C Healthcare Limited,7
157,f22a49a4-3b88-46d2-951c-591470e3149b,8,Secure Trust Bank PLC,1
158,2bb9405c-6142-4cf8-ae27-a9b2e88d2485,8,BM Europe BV,3
159,6c7136eb-6295-48c8-9ead-1bdf1020345c,8,Interprovinciaal Overleg,1
160,2893ef6c-814d-4083-85df-9f2881541f69,8,ek robotics GmbH,4
161,9ecbd628-0072-405d-8567-32c6750b0d3e,8,DNB,9
162,fd87acf8-18d4-4fce-aa97-99f91ae2cb66,8,BAKOTECH,1
163,5bd1450c-8b7b-4877-aab8-688d37a70b6e,8,uber.com,1
164,dbd3a8f5-2327-4193-9559-a36e9ccb40f9,8,thryv,1
165,3f872cc2-5507-4259-b94e-c11ec61f9cf3,8,"J. Goldman & Co., L.P.",2
166,bb6b3fea-ae59-45f9-a58e-249b56625336,8,TRHC,6
167,db9a16f9-8fa8-4189-ab9a-ba762f016df5,8,Keiter CPA,1
168,3c8e1303-e9be-4edd-b73e-d9e9b350f219,8,TZ Healthcare Solutions,1
169,3aea1373-732a-410f-92aa-1aa88a1f2282,8,Precision Diagnostics,4
170,32e232f6-4e92-46d3-b401-fe8baa3788e9,8,Workday Inc,5
171,ece76e02-a02b-4c4a-906d-98a34c5ce07a,8,BMO Financial Group ,2
172,45cb9485-673d-45df-a2f0-27486343afda,8,Levi Strauss & Co.,4
173,44ff9210-0b67-45b2-a1a0-959235776ce6,8,Horizon,4
174,b7be7686-6f97-4db7-9081-a23cf09a96b5,8,Halliburton,5
175,a6bc45fd-3569-4752-8b4f-be0d67c694c8,8,"Cornerstone Services, Inc.",1
176,c1eb5112-7946-4c9d-bc57-40040cfe3a91,8,Ecolab,1
177,ab44e261-e329-4327-bbdd-17a5478226a1,8,Association,8
178,36b43a74-89fe-4652-9783-964a2c5f9b48,8,hollingsworthllp.com,6
179,b1c14d5c-3625-45b3-a430-9552373a0c2f,8,SAS,6
180,a3762290-1a94-4aa4-8cdb-57f789a4b796,8,SCAN Group,7
181,dd2ecb31-c138-46e0-a747-6b6da4a77f79,7,Jungheinrich AG ,1
182,60c43c0a-64ac-4050-bf3e-31e1cdfffdeb,7,Entain Group,1
183,fbe05639-1dac-4eec-bcfb-db00743d3e24,7,LeasePlan Information Services,8
184,2afdd6f1-b1e4-43e0-bd23-57700eeee259,7,Isbjørn Is AS,3
185,d43a1463-07f7-4270-980f-2bd808e241a1,7,Mabanaft,23
186,42d0d02d-6286-465e-999b-31006231efb1,7,Aviva Group Holdings Limited,1
187,a3d5bec9-2414-41cf-a8da-9efc4cd4ea22,7,TC Transcontinental,39
188,80354804-1fdf-428e-9f5f-5091e994cf54,7,Arlington County Government,2
189,c64d49cd-d138-4cdb-a5d4-324a4040c74a,6,AMP Services Ltd,16
190,f8a213d2-8f6c-400d-9e74-4e8b475316c6,6,Universitetet i Stavanger,1
191,cb342146-7965-425e-83ab-88f8ecb99e0d,6,Sikt,10
192,167a206d-d1fe-42a7-9c13-11d4e8d0486f,6,Logotel S.p.A.,2
193,346cbbd8-709d-4a3f-8594-4c6b3b58bf23,6,fincantieri.it,2
194,0637680a-67ee-4b63-acdf-ac82cfcde5ad,6,Sanitas,132
195,a5fbedf4-0169-4c97-a604-1c19fb3a90ba,6,Laboratoires Théa S.A.S.,4
196,05f73a75-999a-4b6f-83c1-8a9511c3f90d,6,Gruppo HERA,3
197,bb5ce2cf-abc5-4c2b-a590-26ecfbb3fe5e,6,novomind AG,2
198,66a4b221-18da-4a3b-98af-7e73be49fc81,6,G. Henle Verlag e.K.,2
199,1fe71823-7b69-4a45-af74-0b15836e2c26,6,Gemeente Rotterdam (OTA),2
200,af67b1ff-71c6-48bd-920c-a3a1cd064b41,6,Einkaufsbüro Deutscher Eisenhändler GmbH,7
201,22991c1b-aa70-4d9c-85be-637908be565f,6,Miele,6
202,506d4541-f9c2-40c2-a103-1aa4736de230,6,International Olympic Committee,7
203,f4a12867-922d-4b9d-bb85-9ee7898512a0,6,SUEZ,26
204,54844b88-61b9-46ef-88af-cae5bd8a7087,6,Axfood,26
205,0002cd24-7dd6-4542-acd6-e0c7e184c80c,6,Everest Reinsurance,13
206,26401abd-bda5-4177-8f6a-fb0f875f6c92,6,Flexcare Travel Nursing,1
207,11bfe7ed-a96d-47b8-93b9-f1d5ced7091b,6,onedigital.com,46
208,d9da684f-2c03-432a-a7b6-ed714ffc7683,6,The Toronto-Dominion Bank,2
209,6675db40-55e0-4a98-a838-66f4a0c06b1b,6,IB ,3
210,0fae1cea-e49a-40f0-94b3-be5e19bbdd91,6,Baldwin,3
211,ef0aebeb-2af0-47a3-b8ae-5665f8a62d11,6,Bio-Rad Laboratories Inc.,8
212,be0f980b-dd99-4b19-bd7b-bc71a09b026c,6,T-Mobile USA,9
213,ecfb9980-ca76-44d2-afcc-5a8e6d4e4fe8,6,"Panda Restaurant Group, Inc.",2
214,2b8f3438-d57a-4ede-a50f-371f6bf2bf3e,6,Vantiva,1
215,5856e91d-192f-4b6b-8212-06ea11394098,6,Inter Pipeline Ltd,1
216,1f4f7eda-6e51-425e-a0f9-4c2fcef58a52,5,ANZ,12
217,4414f420-3071-4efd-abfc-ef57c9c725a3,5,"Soluciones Cuatroochenta, S.A.",6
218,2b95cc4c-4de2-4fcd-9f8a-6318b88ad7d3,5,Kamer van Koophandel,76
219,5f757850-19e4-4329-bc48-045f1fe3eecd,5,Aztec Group,1
220,b1cc6ef0-cc02-4b18-867b-549f2798bca7,5,salade 2 fruits,116
221,74d90e7b-254f-4a5c-bddd-29126e99749e,5,Assemblin,4
222,d8bd61d1-ae27-427e-8927-939fddb176f6,5,Klöckner Shared Services GmbH,4
223,2a6c12ad-406a-4f33-b686-f78ff5822208,5,United Nations Framework Convention on Climate Change,1
224,f1849ab7-a915-46af-ada3-37952dfec105,5,Stichting MIND,1
225,1dc9b339-fadb-432e-86df-423c38a0fcb8,5,SoftwareOne,1
226,9f489fcc-e452-4509-8234-6f97b42d0117,5,Stadt Zürich,6
227,90a63c3a-88c7-4ef1-a5af-491870f61ac2,5,Bewise,6
228,3172ad9b-8635-4703-9d9f-50e5a7bd1353,5,Quintet Private Bank,1
229,93bfeb02-767e-407f-ba5c-5083c054a191,5,Vistra Corp,1
230,246cd56d-4504-4a0f-8590-e264028454c6,5,"Bob Evans Farms, Inc",2
231,a1f1e214-7ded-45b6-81a1-9e8ae3459641,5,Johnson Controls,5
232,67394d15-44d3-401f-8cdf-4a8ad84fec48,5,90degreebenefits.com,1
233,0685d760-4332-4f24-b2ea-ffbbc2383f15,5,TransUnion LLC,3
234,5e0b361b-59ed-466e-8759-030448046197,5,Nutrien,168
235,7f0788f7-3634-419b-bf74-bbe48147830c,4,ANZNP,2
236,a1b03033-8a3d-4443-a90b-0f3298ffbf90,4,Woolworths Group Limited,3
237,530eb4d8-2b68-4bf4-88c4-05d960b8514d,4,The Social Research Centre Pty Ltd,1
238,ff8a34aa-31fe-4a22-9c22-29e2af4a065d,4,AppDev,2
239,07a8e50a-8ea0-426a-a55d-7e60ddbb756f,4,Inter Cars S.A.,1
240,8ed2155f-6979-4faf-9ba0-3b48b6313b84,4,ODRA,18
241,f2d7d6c5-1bee-41ff-9e79-b372a5cce71d,4,Engineering Ingegneria Informatica S.p.A.,149
242,a6096808-b971-440e-99ff-6ea37b046566,4,Andel Holding A/S,4
243,635c8176-4f03-47a7-862d-2c13038c2ce1,4,IFCO Systems GmbH,1
244,f2fe6bd3-9c4a-485b-ae69-e18820a88130,4,ERM,2
245,3f991a7b-ea93-4169-b28c-c36ff3e5b0d1,4,Teva Pharmaceutical Industries Ltd.,2
246,00d9152e-e7da-4edd-b1cf-9b706245cc51,4,Piteå kommun,1
247,e8fde22e-370f-41b8-97e4-01b219626bad,4,CETSDEMO,7
248,5b973f99-77df-4beb-b27d-aa0c70b8482c,4,EY,21
249,5407423b-52cb-4385-a688-3118410c932b,4,Roche,6
250,e880f0e6-8d29-4675-8fbc-326eb670c840,4,Nintendo of Europe,2
251,b7cae9b5-b3cc-46e4-b089-b09e3c425e14,4,HCS,15
252,6de51a38-a157-4bc9-ac11-278a1f5f796d,4,thyssenkrupp Veerhaven B.V.,56
253,25d39a9f-4441-46a3-866d-2fff6951bd08,4,Cargolux Airlines International S.A.,3
254,014037e8-71f5-48c0-a6f9-e157b0607d6f,4,Service 3,6
255,2c2ddb2f-b9de-46e8-8a62-fa95d5b6772c,4,IHI Ionbond AG,1
256,7106b467-21bb-484c-9e4d-75fc460bec04,4,Vorwerk Group,5
257,5cc6c66d-ffb2-469f-9385-cda840e57836,4,MAPFRE,15
258,e4a31a4b-1d2e-478a-8e65-c2011356ca3b,4,SERFIM,1
259,617dc8fb-8f68-4abc-94f8-7c087ea89c7f,4,Airswift,8
260,e4e1abd9-eac7-4a71-ab52-da5c998aa7ba,4,L'Oréal,1
261,35aa8c5b-ac0a-4b15-9788-ff6dfa22901f,4,Migros,1
262,b3ee55ca-afc9-4d69-8d6d-1ccc399730c1,4,Lemongrass Consulting,1
263,6cf18ffb-42c6-4d7d-9874-5c515ab0c6ae,4,Daikin Europe N.V.,2
264,209a8efd-4a47-4b08-8f7b-c992ae69f530,4,VFCloudWorkplace,15
265,aa42167d-6f8d-45ce-b655-d245ef97da66,4,Corporate,11
266,0dd66dd6-0730-47ae-b2f3-ba1f625c6192,4,Strabag BRVZ GmbH,38
267,5da3e104-00e8-40ad-82e4-db4a68281f5c,4,Salfer GmbH,3
268,ba008efb-b540-412c-8191-35f221053e40,4,GEBR. MAYER,1
269,39d6d41d-c7ca-4a42-ae3b-0fba82be994b,4,easyJet,1
270,992d714a-338a-474e-8506-bfec997dd1c0,4,HIT,9
271,07d2f395-f69c-43ab-88a2-b82f1151042d,4,Truesec Detect AB,5
272,b914a242-e718-443b-a47c-6b4c649d8c0a,4,E.ON,395
273,79433f48-c36b-4606-8d99-886de32341af,4,FIDAL,31
274,a453ef8d-c7d0-4846-8228-3a36f1cfed6a,4,GME,9
275,8aa0ecb7-17a4-4efd-858c-1b04e5e7f655,4,Intellecta ehf,1
276,92042f78-2a58-4407-b076-d7271143bb9b,4,GVB,119
277,e1ee9ca2-db9a-4b56-a4f2-27d8e22c7076,4,ext.concordia.ch,4
278,e13a1198-1028-4860-a784-e5c8447b3683,4,Club Leisure Management,3
279,e11cbe9c-f680-44b9-9d42-d705f740b888,4,Sandvik,49
280,98731832-40da-4546-9203-f68390800051,4,VINCI Construction,34
281,93f33571-550f-43cf-b09f-cd331338d086,4,DXC Production,11
282,354f10a5-0782-4663-8897-8b60747eb8bc,4,"Assurant, Inc.",84
283,fb9e9682-0122-4c27-ac68-4c419bcfee51,4,3E Company Environmental,4
284,ff9b87e3-c548-4b3d-8782-7cf47b86c057,4,FactSet,6
285,8ac4225d-43e6-415c-ae38-6e4f1f306107,4,"SpringWorks Therapeutics, Inc.",1
286,99d4f704-71c1-443d-95fd-466978b7e5ff,4,Boss Facility Services,1
287,e79e466c-1c8e-449a-a93b-dcdcb8b3e6bf,4,Red River Mutual,1
288,7a9376d4-7c43-480f-82ba-a090647f651d,4,MSCI Office 365,3
289,1d52ba18-85ac-4a44-9bbb-a64541c69c85,4,Deciphera Pharmaceuticals,1
290,2242945a-4ab9-4132-840e-cce1c66e31bb,4,"The TJX Companies, Inc",1
291,f0ff917d-ab8c-4129-b13f-33be267a153b,4,"Dynata, LLC",1
292,e51a0494-54df-498d-96d6-a06b38ecfafd,4,CATENO GESTAO DE CONTAS DE PAGAMENTO S.A,34
293,61f0a7ec-2fb7-4d25-b0a7-7772ef495bdf,4,Nashville Electric Service,1
294,e4cc3425-4711-4cc4-adc6-0006d217b2ff,4,The Chamberlain Group LLC,1
295,e39ac657-392d-44f6-8431-a2268d368177,4,Altais Health Solutions,2
296,ad30e5bc-301d-40db-a10a-0e8d40abe0f9,4,"Siteimprove, Inc.",1
297,fd753b92-f3b7-49fa-95cf-aed075c0f21c,4,CN,7
298,6529f55e-1eb5-4488-b560-c215462974a9,4,Rocky Mountain Dealerships Inc,1
299,76e3921f-489b-4b7e-9547-9ea297add9b5,4,Willis Towers Watson,1
300,4db6f928-bfb9-43eb-8104-6b85a431cd6b,4,AXIS Capital,1
301,d584a4b7-b1f2-4714-a578-fd4d43c146a6,4,Baker Hughes,15
302,6353b382-8fbb-47e4-8068-20adc46acdb4,4,addepar.com,1
303,8820279b-c0be-4bde-83ed-fe6b6f9724d5,4,Avnet,2
304,4b0911a0-929b-4715-944b-c03745165b3a,4,NetApp Inc.,1
305,9d169139-3571-4ea4-8bb6-298246734711,4,secureticketpurchase.com,1
306,bd2ac3b4-122a-4000-ac98-779c8efd4722,4,Smiths Group,1
307,e7892f13-4fab-4aab-8dad-0a1408a6ad38,4,Jefferies  LLC,1
308,8e090897-cfc6-4515-90c9-975e9c464898,4,tvsdesign,1
309,29b5a602-9a6c-4075-a661-6e36ca016875,4,Coastal Community Bank,15
310,4a064758-652f-4bed-9b07-ec935f575bb2,3,Caritasverband der Dioezese Rottenburg-Stuttgart e.V.,2
311,fa74eeb7-373a-4c5b-8c97-4d330cfa9f60,3,Polestar,1
312,c4db913b-246b-4e38-affe-1c7ec5c684ac,3,SECOWARWICK S.A.,1
313,6adda485-8fd5-4b5a-b121-c12c9910eeff,3,Beristain,5
314,4b97186e-ee11-49fa-acbc-f652ccf32938,3,mediant.nl,1
315,f7142c94-67ee-484b-8c07-0e13778c5635,3,BCN GROUP LTD.,2
316,4da06a88-3c61-4df0-bf07-42bbfed85f90,3,CodeARM sp. z o.o.,1
317,a7f72255-4900-4129-bc34-810dcfa2f551,3,La Francaise Group,41
318,bb1a63eb-eb09-471a-a005-37b07792a5b5,3,BUSINESS INTEGRATION PARTNERS SPA,1
319,255bd3b3-8412-4e31-a3ec-56916c7ae8c0,3,TÜV Rheinland Service GmbH,73
320,c21323a3-a353-4cf7-a1c7-954e704b05bd,3,Coast Capital Savings,1
321,2434528d-4270-4977-81dd-a6308c1761a3,3,Northern Trust Corporation,6
322,aaa56331-c05e-499c-88f9-6d66245069df,3,Lantheus,1
323,36ff142e-a1a0-4517-9258-e9179df35506,3,Recycle Track Systems Inc,1
324,32dc2feb-7716-4cf8-b1a6-f02cf37fd6bf,3,One MTC - Prod,1
325,101ce67d-13f2-447a-bb65-0989b89dfdb4,3,kochind.com,9
326,8ff68ac3-7f87-49cc-8c0c-c371edfed04a,3,Esfera,6
327,bed4da51-3cdb-4d0d-baf8-fb80d53268e3,2,Health New Zealand,1
